Pelajaran Favorit,Minat Utama,Keterampilan Unggulan,Lingkungan Kerja,Tipe Kepribadian,Gaya Belajar,Fakultas
Matematika,Seni,Pemecahan masalah,Lapangan,Introvert,Kinestetik,FMIPA
Kimia,Seni,Teknis,Lapangan,Introvert,Kinestetik,FTTM
Kimia,Kesehatan,Kreativitas,Kantor,Ekstrovert,Auditori,FMIPA
Fisika,Teknik,Komunikasi,Kantor,Introvert,Kinestetik,FMIPA
Kimia,Sains,Pemecahan masalah,Remote,Introvert,Visual,FTI
Matematika,Sains,Analitis,Kantor,Ekstrovert,Visual,SAPPK
Matematika,Seni,Analitis,Lapangan,Ekstrovert,Kinestetik,SITH
Matematika,Sains,Kreativitas,Remote,Ekstrovert,Auditori,FITB
Kimia,Seni,Teknis,Lapangan,Introvert,Visual,FTMD
Kimia,Teknologi,Analitis,Remote,Ekstrovert,Auditori,FSRD
Biologi,Teknologi,Komunikasi,Lapangan,Introvert,Kinestetik,FMIPA
Matematika,Sains,Kreativitas,Kantor,Ekstrovert,Kinestetik,FMIPA
Kimia,Teknologi,Pemecahan masalah,Lapangan,Introvert,Kinestetik,SBM
Seni Budaya,Seni,Analitis,Kantor,Introvert,Kinestetik,FTTM
Seni Budaya,Sains,Teknis,Kantor,Introvert,Auditori,STEI
Seni Budaya,Bisnis,Kreativitas,Remote,Introvert,Visual,FTI
Fisika,Seni,Teknis,Lapangan,Ekstrovert,Auditori,FMIPA
Fisika,Teknik,Kreativitas,Lapangan,Introvert,Visual,FTTM
Fisika,Seni,Pemecahan masalah,Lapangan,Ekstrovert,Auditori,SBM
Fisika,Kesehatan,Kreativitas,Lapangan,Introvert,Visual,FSRD
Biologi,Seni,Pemecahan masalah,Lapangan,Introvert,Auditori,FSRD
Biologi,Teknik,Komunikasi,Lapangan,Introvert,Kinestetik,FTTM
Fisika,Teknik,Kreativitas,Lapangan,Ekstrovert,Visual,FTTM
Kimia,Seni,Pemecahan masalah,Kantor,Introvert,Auditori,STEI
Biologi,Teknologi,Teknis,Remote,Ekstrovert,Kinestetik,SF
Kimia,Teknologi,Komunikasi,Kantor,Ekstrovert,Auditori,FSRD
Seni Budaya,Teknik,Komunikasi,Lapangan,Introvert,Auditori,FTTM
Seni Budaya,Seni,Pemecahan masalah,Lapangan,Ekstrovert,Auditori,SBM
Biologi,Teknologi,Analitis,Kantor,Introvert,Auditori,FTMD
Kimia,Teknologi,Teknis,Remote,Ekstrovert,Visual,FITB
Seni Budaya,Kesehatan,Kreativitas,Lapangan,Ekstrovert,Auditori,FITB
Biologi,Bisnis,Komunikasi,Lapangan,Introvert,Kinestetik,FTMD
Matematika,Teknologi,Analitis,Lapangan,Introvert,Kinestetik,FTSL
Kimia,Sains,Kreativitas,Remote,Ekstrovert,Auditori,FTTM
Biologi,Seni,Analitis,Kantor,Ekstrovert,Visual,FSRD
Matematika,Bisnis,Komunikasi,Kantor,Ekstrovert,Kinestetik,FSRD
Biologi,Bisnis,Pemecahan masalah,Lapangan,Ekstrovert,Kinestetik,SAPPK
Kimia,Teknologi,Komunikasi,Kantor,Introvert,Kinestetik,FTMD
Biologi,Bisnis,Komunikasi,Remote,Ekstrovert,Auditori,FSRD
Matematika,Teknologi,Teknis,Kantor,Introvert,Kinestetik,SF
Matematika,Seni,Pemecahan masalah,Lapangan,Introvert,Kinestetik,SAPPK
Seni Budaya,Bisnis,Analitis,Kantor,Introvert,Visual,FSRD
Kimia,Teknologi,Komunikasi,Remote,Introvert,Kinestetik,FTI
Fisika,Sains,Kreativitas,Kantor,Ekstrovert,Kinestetik,FMIPA
Kimia,Teknik,Komunikasi,Remote,Ekstrovert,Kinestetik,FTSL
Biologi,Bisnis,Analitis,Lapangan,Ekstrovert,Kinestetik,FTSL
Biologi,Teknologi,Kreativitas,Kantor,Introvert,Auditori,FTTM
Biologi,Sains,Teknis,Remote,Ekstrovert,Kinestetik,SF
Matematika,Seni,Kreativitas,Kantor,Ekstrovert,Auditori,FTI
Biologi,Teknologi,Komunikasi,Kantor,Introvert,Kinestetik,FMIPA
Fisika,Teknologi,Teknis,Lapangan,Ekstrovert,Kinestetik,FITB
Matematika,Sains,Kreativitas,Lapangan,Introvert,Auditori,FTTM
Fisika,Sains,Analitis,Lapangan,Introvert,Auditori,FTMD
Fisika,Kesehatan,Pemecahan masalah,Remote,Introvert,Visual,FSRD
Fisika,Seni,Analitis,Lapangan,Introvert,Kinestetik,SBM
Fisika,Bisnis,Komunikasi,Remote,Introvert,Visual,SITH
Matematika,Teknik,Komunikasi,Remote,Ekstrovert,Kinestetik,FMIPA
Matematika,Kesehatan,Teknis,Kantor,Ekstrovert,Kinestetik,FSRD
Fisika,Kesehatan,Pemecahan masalah,Lapangan,Ekstrovert,Visual,FITB
Matematika,Sains,Teknis,Lapangan,Introvert,Auditori,FTMD
Matematika,Teknik,Teknis,Lapangan,Ekstrovert,Auditori,FTI
Matematika,Bisnis,Kreativitas,Kantor,Ekstrovert,Visual,SF
Matematika,Kesehatan,Analitis,Lapangan,Introvert,Kinestetik,FTMD
Fisika,Teknik,Pemecahan masalah,Kantor,Introvert,Visual,FTSL
Matematika,Bisnis,Analitis,Lapangan,Introvert,Visual,SBM
Kimia,Seni,Komunikasi,Kantor,Ekstrovert,Auditori,SF
Seni Budaya,Kesehatan,Pemecahan masalah,Remote,Ekstrovert,Kinestetik,SBM
Seni Budaya,Kesehatan,Analitis,Remote,Introvert,Kinestetik,FTMD
Kimia,Bisnis,Pemecahan masalah,Remote,Introvert,Kinestetik,SF
Biologi,Teknik,Pemecahan masalah,Kantor,Introvert,Auditori,STEI
Matematika,Teknologi,Kreativitas,Lapangan,Ekstrovert,Kinestetik,FITB
Biologi,Seni,Komunikasi,Remote,Ekstrovert,Visual,FTTM
Kimia,Teknologi,Kreativitas,Kantor,Ekstrovert,Visual,FTMD
Seni Budaya,Sains,Analitis,Lapangan,Ekstrovert,Auditori,FSRD
Seni Budaya,Bisnis,Analitis,Remote,Ekstrovert,Auditori,STEI
Matematika,Bisnis,Kreativitas,Kantor,Introvert,Auditori,SITH
Kimia,Kesehatan,Teknis,Lapangan,Introvert,Auditori,FTMD
Matematika,Kesehatan,Pemecahan masalah,Remote,Introvert,Auditori,STEI
Fisika,Teknologi,Pemecahan masalah,Lapangan,Introvert,Auditori,FMIPA
Matematika,Kesehatan,Teknis,Lapangan,Introvert,Auditori,FSRD
Fisika,Teknik,Pemecahan masalah,Kantor,Introvert,Auditori,SBM
Seni Budaya,Sains,Analitis,Kantor,Ekstrovert,Auditori,FITB
Biologi,Seni,Pemecahan masalah,Kantor,Introvert,Kinestetik,FTI
Seni Budaya,Sains,Teknis,Kantor,Introvert,Auditori,SF
Fisika,Teknik,Kreativitas,Remote,Ekstrovert,Kinestetik,FTTM
Biologi,Bisnis,Komunikasi,Lapangan,Introvert,Visual,FMIPA
Biologi,Teknik,Komunikasi,Lapangan,Introvert,Auditori,SBM
Matematika,Sains,Pemecahan masalah,Lapangan,Introvert,Visual,STEI
Biologi,Bisnis,Teknis,Lapangan,Introvert,Visual,STEI
Kimia,Teknik,Teknis,Lapangan,Introvert,Kinestetik,FTMD
Biologi,Sains,Komunikasi,Kantor,Introvert,Visual,FTI
Biologi,Seni,Pemecahan masalah,Lapangan,Ekstrovert,Visual,FTI
Biologi,Bisnis,Pemecahan masalah,Kantor,Introvert,Kinestetik,FSRD
Matematika,Teknologi,Teknis,Remote,Ekstrovert,Kinestetik,FSRD
Seni Budaya,Bisnis,Pemecahan masalah,Kantor,Introvert,Visual,FMIPA
Matematika,Teknik,Analitis,Lapangan,Introvert,Kinestetik,FTSL
Kimia,Seni,Analitis,Kantor,Ekstrovert,Visual,SBM
Kimia,Bisnis,Teknis,Lapangan,Introvert,Kinestetik,FSRD
Biologi,Teknologi,Teknis,Remote,Introvert,Auditori,FTSL
Seni Budaya,Bisnis,Pemecahan masalah,Kantor,Introvert,Auditori,FTMD
Matematika,Seni,Analitis,Remote,Introvert,Kinestetik,SBM
Fisika,Seni,Analitis,Kantor,Introvert,Kinestetik,SF
Biologi,Bisnis,Teknis,Kantor,Ekstrovert,Kinestetik,SF
Biologi,Teknologi,Komunikasi,Remote,Ekstrovert,Visual,SAPPK
Biologi,Bisnis,Kreativitas,Remote,Ekstrovert,Visual,FTTM
Matematika,Teknik,Teknis,Lapangan,Introvert,Kinestetik,FTI
Fisika,Teknologi,Teknis,Kantor,Ekstrovert,Kinestetik,SITH
Kimia,Teknologi,Komunikasi,Kantor,Ekstrovert,Auditori,SBM
Fisika,Bisnis,Analitis,Remote,Ekstrovert,Visual,FITB
Matematika,Kesehatan,Kreativitas,Lapangan,Introvert,Visual,FTI
Fisika,Teknologi,Kreativitas,Lapangan,Introvert,Kinestetik,FITB
Matematika,Bisnis,Pemecahan masalah,Lapangan,Introvert,Visual,FTTM
Kimia,Seni,Analitis,Kantor,Introvert,Visual,SITH
Fisika,Teknik,Komunikasi,Lapangan,Introvert,Auditori,SITH
Matematika,Sains,Teknis,Remote,Introvert,Auditori,STEI
Kimia,Bisnis,Komunikasi,Lapangan,Introvert,Visual,STEI
Fisika,Teknik,Komunikasi,Remote,Ekstrovert,Kinestetik,FMIPA
Matematika,Seni,Teknis,Remote,Introvert,Auditori,SITH
Seni Budaya,Teknologi,Komunikasi,Lapangan,Ekstrovert,Auditori,FTI
Matematika,Sains,Komunikasi,Kantor,Ekstrovert,Auditori,SF
Biologi,Teknik,Komunikasi,Kantor,Introvert,Kinestetik,STEI
Kimia,Teknik,Komunikasi,Remote,Ekstrovert,Kinestetik,FTI
Matematika,Teknologi,Pemecahan masalah,Lapangan,Ekstrovert,Visual,FTSL
Biologi,Sains,Pemecahan masalah,Lapangan,Introvert,Visual,FTI
Seni Budaya,Teknik,Pemecahan masalah,Kantor,Ekstrovert,Kinestetik,FTTM
Kimia,Teknik,Analitis,Kantor,Introvert,Visual,FITB
Kimia,Bisnis,Komunikasi,Lapangan,Ekstrovert,Kinestetik,SBM
Matematika,Kesehatan,Teknis,Lapangan,Introvert,Kinestetik,FTTM
Biologi,Bisnis,Kreativitas,Kantor,Ekstrovert,Auditori,SITH
Seni Budaya,Sains,Kreativitas,Remote,Introvert,Auditori,FTTM
Seni Budaya,Seni,Komunikasi,Remote,Ekstrovert,Auditori,SITH
Kimia,Teknik,Teknis,Kantor,Introvert,Visual,SITH
Fisika,Bisnis,Analitis,Kantor,Introvert,Visual,SBM
Seni Budaya,Kesehatan,Kreativitas,Remote,Ekstrovert,Visual,SF
Matematika,Bisnis,Analitis,Remote,Ekstrovert,Auditori,SF
Biologi,Sains,Teknis,Kantor,Ekstrovert,Auditori,FTSL
Kimia,Seni,Komunikasi,Kantor,Ekstrovert,Visual,FTI
Seni Budaya,Teknik,Teknis,Remote,Introvert,Auditori,FTSL
Fisika,Teknik,Komunikasi,Remote,Introvert,Visual,FTTM
Biologi,Teknologi,Teknis,Remote,Introvert,Auditori,SAPPK
Kimia,Teknologi,Komunikasi,Remote,Ekstrovert,Visual,SITH
Matematika,Teknik,Kreativitas,Lapangan,Introvert,Auditori,SITH
Seni Budaya,Teknik,Pemecahan masalah,Kantor,Ekstrovert,Kinestetik,FSRD
Matematika,Kesehatan,Teknis,Remote,Ekstrovert,Kinestetik,FSRD
Biologi,Sains,Teknis,Remote,Introvert,Auditori,FTI
Kimia,Sains,Komunikasi,Remote,Ekstrovert,Auditori,FITB
Seni Budaya,Seni,Komunikasi,Kantor,Introvert,Auditori,FSRD
Kimia,Kesehatan,Kreativitas,Lapangan,Introvert,Visual,SF
Fisika,Bisnis,Analitis,Lapangan,Introvert,Kinestetik,FSRD
Matematika,Seni,Pemecahan masalah,Lapangan,Ekstrovert,Visual,SBM
Fisika,Teknologi,Analitis,Kantor,Ekstrovert,Kinestetik,SF
Fisika,Teknologi,Komunikasi,Kantor,Introvert,Visual,SF
Fisika,Sains,Komunikasi,Lapangan,Introvert,Auditori,STEI
Seni Budaya,Teknik,Kreativitas,Lapangan,Ekstrovert,Visual,FSRD
Kimia,Bisnis,Teknis,Remote,Ekstrovert,Kinestetik,FITB
Matematika,Seni,Analitis,Remote,Introvert,Auditori,FTTM
Kimia,Sains,Teknis,Remote,Ekstrovert,Auditori,SAPPK
Kimia,Teknologi,Analitis,Remote,Introvert,Visual,SAPPK
Biologi,Kesehatan,Kreativitas,Kantor,Introvert,Visual,SITH
Matematika,Sains,Pemecahan masalah,Lapangan,Ekstrovert,Auditori,FTSL
Seni Budaya,Sains,Komunikasi,Kantor,Ekstrovert,Kinestetik,SITH
Matematika,Bisnis,Kreativitas,Remote,Introvert,Auditori,FTSL
Seni Budaya,Bisnis,Pemecahan masalah,Remote,Introvert,Kinestetik,SF
Biologi,Teknologi,Pemecahan masalah,Remote,Ekstrovert,Auditori,FTMD
Fisika,Bisnis,Pemecahan masalah,Lapangan,Ekstrovert,Visual,SITH
Biologi,Bisnis,Pemecahan masalah,Kantor,Ekstrovert,Visual,FTI
Matematika,Bisnis,Kreativitas,Remote,Introvert,Visual,FTMD
Seni Budaya,Teknologi,Komunikasi,Kantor,Introvert,Auditori,SITH
Seni Budaya,Bisnis,Pemecahan masalah,Kantor,Introvert,Visual,FITB
Biologi,Sains,Pemecahan masalah,Lapangan,Introvert,Kinestetik,SITH
Biologi,Kesehatan,Pemecahan masalah,Remote,Introvert,Auditori,FSRD
Seni Budaya,Teknik,Kreativitas,Lapangan,Introvert,Auditori,SITH
Fisika,Sains,Pemecahan masalah,Remote,Introvert,Visual,FMIPA
Matematika,Sains,Analitis,Kantor,Introvert,Kinestetik,SITH
Seni Budaya,Kesehatan,Kreativitas,Kantor,Ekstrovert,Kinestetik,FTI
Fisika,Teknologi,Teknis,Kantor,Introvert,Kinestetik,SITH
Seni Budaya,Kesehatan,Pemecahan masalah,Kantor,Ekstrovert,Kinestetik,FITB
Seni Budaya,Teknologi,Analitis,Lapangan,Introvert,Auditori,FMIPA
Matematika,Teknik,Komunikasi,Kantor,Introvert,Kinestetik,FTSL
Matematika,Seni,Teknis,Remote,Introvert,Visual,FTMD
Biologi,Kesehatan,Teknis,Remote,Introvert,Auditori,FMIPA
Fisika,Teknologi,Komunikasi,Remote,Ekstrovert,Auditori,SAPPK
Matematika,Teknik,Analitis,Lapangan,Introvert,Auditori,SITH
Biologi,Seni,Pemecahan masalah,Lapangan,Introvert,Visual,FTI
Fisika,Teknik,Kreativitas,Lapangan,Ekstrovert,Visual,FTTM
Fisika,Teknik,Kreativitas,Remote,Ekstrovert,Kinestetik,SF
Seni Budaya,Teknik,Teknis,Lapangan,Ekstrovert,Kinestetik,FTTM
Fisika,Bisnis,Kreativitas,Lapangan,Ekstrovert,Visual,SITH
Kimia,Sains,Teknis,Kantor,Introvert,Kinestetik,FITB
Seni Budaya,Bisnis,Komunikasi,Kantor,Ekstrovert,Auditori,SAPPK
Kimia,Bisnis,Teknis,Lapangan,Introvert,Kinestetik,FTMD
Matematika,Teknologi,Komunikasi,Remote,Introvert,Auditori,FTI
Kimia,Teknik,Pemecahan masalah,Kantor,Ekstrovert,Kinestetik,FSRD
Fisika,Kesehatan,Komunikasi,Kantor,Ekstrovert,Visual,FITB
Matematika,Teknologi,Analitis,Lapangan,Introvert,Kinestetik,FTTM
Kimia,Kesehatan,Teknis,Lapangan,Ekstrovert,Kinestetik,SBM
Kimia,Teknologi,Komunikasi,Remote,Ekstrovert,Visual,SBM
Biologi,Bisnis,Kreativitas,Lapangan,Ekstrovert,Visual,FITB
Biologi,Teknologi,Teknis,Remote,Introvert,Kinestetik,FTI
Matematika,Kesehatan,Analitis,Kantor,Ekstrovert,Kinestetik,FTI
Seni Budaya,Bisnis,Pemecahan masalah,Remote,Ekstrovert,Visual,SAPPK
Biologi,Teknologi,Pemecahan masalah,Lapangan,Ekstrovert,Auditori,FTSL
Seni Budaya,Teknik,Kreativitas,Kantor,Ekstrovert,Kinestetik,FTI
Matematika,Seni,Komunikasi,Kantor,Ekstrovert,Auditori,FTTM
Biologi,Teknik,Pemecahan masalah,Lapangan,Ekstrovert,Kinestetik,FITB
Kimia,Seni,Pemecahan masalah,Lapangan,Ekstrovert,Kinestetik,STEI
Matematika,Sains,Analitis,Lapangan,Ekstrovert,Auditori,STEI
Seni Budaya,Teknik,Teknis,Kantor,Ekstrovert,Kinestetik,FTMD
Kimia,Sains,Analitis,Lapangan,Ekstrovert,Visual,SITH
Biologi,Seni,Teknis,Lapangan,Ekstrovert,Visual,FTTM
Matematika,Bisnis,Analitis,Lapangan,Ekstrovert,Kinestetik,FTTM
Fisika,Sains,Teknis,Remote,Introvert,Visual,FSRD
Fisika,Seni,Analitis,Remote,Ekstrovert,Auditori,STEI
Kimia,Seni,Kreativitas,Lapangan,Ekstrovert,Kinestetik,FTSL
Kimia,Teknologi,Pemecahan masalah,Lapangan,Ekstrovert,Kinestetik,FTSL
Fisika,Bisnis,Pemecahan masalah,Lapangan,Ekstrovert,Auditori,SITH
Kimia,Seni,Kreativitas,Kantor,Ekstrovert,Visual,FTSL
Seni Budaya,Sains,Komunikasi,Remote,Ekstrovert,Auditori,FTTM
Seni Budaya,Teknik,Teknis,Kantor,Introvert,Kinestetik,SBM
Fisika,Bisnis,Analitis,Lapangan,Ekstrovert,Auditori,SAPPK
Biologi,Teknologi,Komunikasi,Lapangan,Ekstrovert,Visual,STEI
Fisika,Teknik,Teknis,Lapangan,Introvert,Auditori,FITB
Seni Budaya,Sains,Teknis,Remote,Ekstrovert,Visual,FITB
Biologi,Sains,Teknis,Remote,Introvert,Kinestetik,FITB
Seni Budaya,Kesehatan,Pemecahan masalah,Lapangan,Introvert,Auditori,SF
Biologi,Teknologi,Kreativitas,Kantor,Ekstrovert,Auditori,FITB
Fisika,Sains,Komunikasi,Kantor,Ekstrovert,Kinestetik,SITH
Seni Budaya,Bisnis,Komunikasi,Remote,Introvert,Kinestetik,STEI
Seni Budaya,Kesehatan,Pemecahan masalah,Kantor,Ekstrovert,Kinestetik,SAPPK
Matematika,Kesehatan,Analitis,Kantor,Ekstrovert,Kinestetik,FTSL
Matematika,Sains,Teknis,Lapangan,Introvert,Kinestetik,SAPPK
Fisika,Seni,Teknis,Kantor,Introvert,Visual,FTI
Fisika,Teknologi,Komunikasi,Lapangan,Introvert,Auditori,STEI
Matematika,Teknik,Pemecahan masalah,Kantor,Ekstrovert,Auditori,FTMD
Matematika,Kesehatan,Pemecahan masalah,Lapangan,Introvert,Auditori,FMIPA
Matematika,Sains,Kreativitas,Lapangan,Introvert,Visual,FSRD
Matematika,Kesehatan,Analitis,Kantor,Introvert,Kinestetik,SF
Seni Budaya,Teknologi,Kreativitas,Lapangan,Introvert,Kinestetik,FSRD
Matematika,Seni,Kreativitas,Remote,Introvert,Visual,FTMD
Matematika,Teknologi,Pemecahan masalah,Remote,Ekstrovert,Kinestetik,SF
Matematika,Kesehatan,Teknis,Kantor,Introvert,Visual,SAPPK
Biologi,Sains,Pemecahan masalah,Remote,Ekstrovert,Auditori,SBM
Matematika,Kesehatan,Komunikasi,Remote,Ekstrovert,Visual,FTTM
Fisika,Teknologi,Kreativitas,Kantor,Ekstrovert,Auditori,SAPPK
Fisika,Seni,Analitis,Remote,Ekstrovert,Auditori,SAPPK
Biologi,Bisnis,Analitis,Remote,Introvert,Auditori,FTMD
Kimia,Teknik,Komunikasi,Kantor,Introvert,Kinestetik,FMIPA
Kimia,Teknik,Komunikasi,Kantor,Introvert,Auditori,SBM
Seni Budaya,Kesehatan,Komunikasi,Remote,Ekstrovert,Visual,SITH
Matematika,Sains,Komunikasi,Lapangan,Introvert,Auditori,FTSL
Seni Budaya,Teknik,Komunikasi,Remote,Introvert,Visual,SF
Biologi,Bisnis,Komunikasi,Remote,Ekstrovert,Kinestetik,FTTM
Seni Budaya,Sains,Komunikasi,Kantor,Introvert,Visual,FMIPA
Kimia,Sains,Kreativitas,Remote,Introvert,Visual,SF
Biologi,Teknik,Analitis,Remote,Introvert,Kinestetik,FMIPA
Seni Budaya,Bisnis,Kreativitas,Lapangan,Introvert,Auditori,SITH
Kimia,Teknologi,Analitis,Lapangan,Introvert,Visual,SBM
Biologi,Teknologi,Komunikasi,Lapangan,Introvert,Visual,FTI
Kimia,Bisnis,Teknis,Remote,Ekstrovert,Visual,STEI
Seni Budaya,Teknik,Teknis,Remote,Introvert,Auditori,FTTM
Kimia,Teknik,Pemecahan masalah,Remote,Introvert,Kinestetik,FTSL
Matematika,Bisnis,Analitis,Lapangan,Introvert,Kinestetik,FTSL
Kimia,Kesehatan,Pemecahan masalah,Lapangan,Introvert,Visual,SAPPK
Biologi,Teknologi,Teknis,Kantor,Introvert,Visual,SITH
Kimia,Bisnis,Analitis,Lapangan,Ekstrovert,Kinestetik,STEI
Kimia,Kesehatan,Komunikasi,Remote,Ekstrovert,Auditori,FITB
Kimia,Bisnis,Pemecahan masalah,Lapangan,Ekstrovert,Kinestetik,FTTM
Matematika,Teknologi,Teknis,Remote,Ekstrovert,Kinestetik,SBM
Biologi,Teknologi,Kreativitas,Kantor,Introvert,Visual,SF
Kimia,Seni,Analitis,Remote,Introvert,Visual,STEI
Fisika,Bisnis,Pemecahan masalah,Remote,Ekstrovert,Kinestetik,FSRD
Biologi,Kesehatan,Teknis,Kantor,Introvert,Visual,FTMD
Matematika,Bisnis,Analitis,Kantor,Ekstrovert,Auditori,FTTM
Kimia,Sains,Analitis,Remote,Ekstrovert,Kinestetik,SF
Seni Budaya,Teknologi,Teknis,Remote,Ekstrovert,Auditori,FITB
Kimia,Kesehatan,Teknis,Remote,Ekstrovert,Kinestetik,SF
Fisika,Sains,Komunikasi,Kantor,Introvert,Kinestetik,FTI
Kimia,Teknik,Kreativitas,Remote,Ekstrovert,Kinestetik,FTI
Seni Budaya,Bisnis,Kreativitas,Lapangan,Introvert,Auditori,FTI
Seni Budaya,Kesehatan,Komunikasi,Kantor,Introvert,Kinestetik,SAPPK
Matematika,Bisnis,Pemecahan masalah,Kantor,Ekstrovert,Kinestetik,FITB
Seni Budaya,Teknologi,Teknis,Lapangan,Introvert,Visual,SAPPK
Matematika,Bisnis,Kreativitas,Lapangan,Introvert,Visual,FTTM
Kimia,Kesehatan,Komunikasi,Kantor,Introvert,Visual,FTI
Matematika,Bisnis,Komunikasi,Remote,Introvert,Auditori,FTMD
Matematika,Seni,Teknis,Kantor,Introvert,Visual,FTTM
Seni Budaya,Kesehatan,Komunikasi,Remote,Introvert,Visual,FTSL
Matematika,Seni,Teknis,Remote,Ekstrovert,Auditori,SBM
Fisika,Teknik,Pemecahan masalah,Remote,Introvert,Auditori,FTI
Kimia,Kesehatan,Teknis,Remote,Ekstrovert,Auditori,FTTM
Biologi,Sains,Komunikasi,Kantor,Introvert,Visual,STEI
Biologi,Teknik,Teknis,Remote,Introvert,Auditori,FTI
Seni Budaya,Sains,Pemecahan masalah,Kantor,Ekstrovert,Auditori,SAPPK
Matematika,Seni,Komunikasi,Remote,Introvert,Auditori,STEI
Matematika,Teknik,Pemecahan masalah,Remote,Introvert,Auditori,FSRD
